'1990','n','y','n','y','y','y','n','n','n','y',?,'y','y','y','n','y','republican'
'1990','n','y','n','y','y','y','n','n','n','n','n','y','y','y','n',?,'republican'
'1990',?,'y','y',?,'y','y','n','n','n','n','y','n','y','y','n','n','democrat'
'1990','n','y','y','n',?,'y','n','n','n','n','y','n','y','n','n','y','democrat'
'1990','y','y','y','n','y','y','n','n','n','n','y',?,'y','y','y','y','democrat'
'1990','n','y','y','n','y','y','n','n','n','n','n','n','y','y','y','y','democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n','n',?,'y','y','y','democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n','n','y','y',?,'y','republican'
'1990','n','y','n','y','y','y','n','n','n','n','n','y','y','y','n','y','republican'
'1990','y','y','y','n','n','n','y','y','y','n','n','n','n','n',?,?,'democrat'
'1990','n','y','n','y','y','n','n','n','n','n',?,?,'y','y','n','n','republican'
'1990','n','y','n','y','y','y','n','n','n','n','y',?,'y','y',?,?,'republican'
'1990','n','y','y','n','n','n','y','y','y','n','n','n','y','n',?,?,'democrat'
'1990','y','y','y','n','n','y','y','y',?,'y','y',?,'n','n','y',?,'democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n','y',?,?,'n',?,'republican'
'1990','n','y','n','y','y','y','n','n','n','y','n','y','y',?,'n',?,'republican'
'1990','y','n','y','n','n','y','n','y',?,'y','y','y',?,'n','n','y','democrat'
'1990','y',?,'y','n','n','n','y','y','y','n','n','n','y','n','y','y','democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n',?,'y','y','n','n','republican'
'1990','y','y','y','n','n','n','y','y','y','n','y','n','n','n','y','y','democrat'
'1990','y','y','y','n','n',?,'y','y','n','n','y','n','n','n','y','y','democrat'
'1990','y','y','y','n','n','n','y','y','y','n','n','n',?,?,'y','y','democrat'
'1990','y',?,'y','n','n','n','y','y','y','n','n',?,'n','n','y','y','democrat'
'1990','y','y','y','n','n','n','y','y','y','n','n','n','n','n','y','y','democrat'
'1990','y','n','y','n','n','n','y','y','y','n','n','n','n','n','y',?,'democrat'
'1990','y','n','y','n','n','n','y','y','y','y','n','n','n','n','y','y','democrat'
'1990','y','n','y','n','n','n','y','y','y','n','y','n','n','n','y','y','democrat'
'1990','y','y','y','n','n','n','y','y','y','n','y','n','n','n','y','y','democrat'
'1990','y','n','n','y','y','n','y','y','y','n','n','y','y','y','n','y','republican'
'1990','y','y','y','n','n','n','y','y','y','n','y','n','n','n','y','y','democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n','y','y','y','n','n','republican'
'1990','y','y','y','n','n','n','y','y','y','n','y','n','n','n','y',?,'democrat'
'1990','y','y','y','n','n','n','y','y','y','y','n','n','y','n','y','y','democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n','y','y','y','n','y','republican'
'1990','y','y','y','n','n','n','y','y','y','n','n','n','n','n','y','y','democrat'
'1990','n','y','n','y','y','y','n','n','n','n','n','y','y','y','n','n','republican'
'1990','y',?,'n','y','y','y','n','n','n','y','n','y',?,'y','n','y','republican'
'1990','y','y','n','y','y','y','n','n','n','n','n','n','y','y','n','y','republican'
'1990','n','y','n','y','y','y','n','n','n','y','n','y','y','y','n','n','republican'
'1990','y','n','y','n','n','n','y','y','y','y','y','n','y','n','y','y','democrat'
'1990','y','y','y','n','n','n','y','y','y','n',?,'n','n','n','n',?,'democrat'
'1990','y','y','y','n','n','n','y','y','y','n','n','n','n','n','y',?,'democrat'
'1990','y','n','y','n','n','n','y','y','y','n','n','n','n','n','n','y','democrat'
'1990','y','n','y','n','n','n','y','y','y','n','n','n','n','n','y','y','democrat'
